DESTINATION         DEPARTURE TIME      FLIGHT DURATION     ECONOMY CLASS       FIRST CLASS
BOSTON              874                 596                 133                 5
LILLE               214                 844                 95                  13
CHANIA              1307                734                 126                 13
CORFU               1243                670                 144                 8
ROME                1103                1185                110                 15
LEEDS               670                 811                 140                 14
BREMEN              117                 1073                111                 10
ATLANTA             514                 1051                123                 11
KALAMATA            274                 869                 106                 14
ICARIA              450                 200                 105                 11
NAPOLI              1072                627                 140                 15
STOCKHOLM           1006                1122                114                 8
RHODES              1109                1162                118                 15
BUCHAREST           1004                295                 110                 9
RHODES              970                 1068                106                 10
CANBERRA            495                 681                 140                 14
BRUSSELS            313                 340                 118                 15
WASHIGTON           94                  413                 144                 10
AMSTERDAM           200                 831                 95                  5
BUDAPEST            1133                552                 111                 10
LUXEMBURG           293                 1059                97                  12
BRUSSELS            310                 451                 131                 13
WARSAW              642                 1157                121                 13
LEMNOS              722                 1102                97                  6
LIVERPOOL           48                  957                 113                 9
MOSCOW              831                 336                 103                 10
PHOENIX             271                 964                 140                 10
PARIS               1372                546                 141                 10
FRANKFURT           1131                403                 117                 13
BREMEN              1163                233                 113                 10
SEVILLE             190                 1038                139                 5
MILAN               1146                618                 141                 9
CARACAS             626                 330                 109                 6
MONACO              205                 191                 144                 12
ALEXANDROUPOLI      462                 1038                135                 10
CHANIA              442                 772                 126                 6
BIRMINGHAM          477                 1200                131                 15
OTTAWA              364                 650                 131                 10
MONTEVIDEO          1103                1101                105                 10
HAVANA              380                 1072                135                 12
HERAKLION           1143                360                 131                 9
FRANKFURT           890                 794                 121                 13
STOCKHOLM           362                 1137                114                 8
SAMOS               838                 700                 121                 9
RECIFE              1241                1006                138                 15
MONTEVIDEO          1071                654                 143                 7
ICARIA              39                  777                 129                 10
BUDAPEST            679                 1059                126                 6
TORONTO             1123                456                 120                 14
BELIGRADE           1186                826                 134                 5
BUDAPEST            487                 673                 111                 9
DOHA                22                  472                 99                  15
CHANIA              198                 388                 98                  12
BUCHAREST           1226                1066                98                  9
LONDON              557                 259                 119                 12
MARSEILLE           496                 873                 111                 14
VALENCIA            1017                556                 130                 8
ANKARA              552                 684                 139                 5
BRISTOL             255                 377                 97                  9
ICARIA              501                 492                 136                 5
FRANKFURT           1273                825                 96                  8
NEWCASTLE           161                 115                 101                 14
SEVILLE             828                 698                 142                 14
JOHANNESBURG        36                  595                 121                 10
OTTAWA              602                 577                 113                 5
HAVANA              595                 912                 107                 12
OSLO                432                 992                 128                 7
MANCHESTER          1281                660                 144                 12
MUNICH              401                 621                 126                 10
RECIFE              516                 405                 111                 11
RHODES              1236                613                 101                 9
MOSCOW              1178                712                 124                 11
MONACO              137                 1060                98                  5
RHODES              93                  478                 106                 12
PARIS               952                 763                 116                 10
LARNACA             1334                563                 135                 5
BRISTOL             1144                678                 134                 9
RHODES              1365                267                 140                 11
HERAKLION           64                  429                 102                 10
BELIGRADE           909                 484                 111                 15
LARNACA             105                 522                 133                 5
ATLANTA             304                 326                 103                 8
VIGO                303                 525                 121                 7
BRISTOL             1122                78                  137                 10
ICARIA              853                 752                 139                 12
MALAGA              402                 528                 107                 8
KALAMATA            1126                441                 143                 6
SAMOS               71                  129                 126                 10
LUXEMBURG           695                 892                 135                 10
PATRAS              528                 270                 102                 7
PRAGUE              688                 235                 116                 8
HAVANA              989                 1050                98                  9
VOLOS               1275                815                 127                 7
CASABLANCA          406                 611                 107                 10
BUDAPEST            338                 351                 124                 5
BRUSSELS            1411                317                 101                 14
BUCHAREST           552                 629                 143                 11
AMSTERDAM           1019                966                 110                 7
BANGKOK             1358                798                 135                 8
CASABLANCA          811                 415                 97                  14
BERLIN              299                 783                 110                 13
VALENCIA            518                 197                 143                 6
LILLE               1359                325                 105                 14
CARACAS             1398                609                 120                 13
ZAGREB              481                 602                 129                 9
GLASGOW             1368                563                 102                 15
ALEXANDRIA          962                 893                 140                 6
BRUSSELS            1100                241                 121                 10
HAVANA              440                 582                 123                 10
ALEXANDRIA          1291                143                 117                 10
KALAMATA            1358                1172                134                 15
OTTAWA              856                 991                 129                 10
NICOSIA             218                 688                 101                 10
MUNICH              334                 222                 143                 7
FLORENCE            1284                948                 100                 5
MANCHESTER          1083                544                 99                  14
VALENCIA            774                 434                 110                 10
IOANNINA            681                 510                 97                  6
LYON                800                 177                 105                 15
ATLANTA             1154                169                 135                 9
BERN                92                  556                 139                 11
ZANTE               401                 441                 145                 13
HERAKLION           112                 1190                123                 8
LISBON              1415                79                  102                 9
SAMOS               863                 847                 118                 12
CAIRO               115                 556                 115                 15
MALAGA              917                 944                 113                 7
ANKARA              139                 436                 111                 9
MALTA               868                 570                 115                 15
VOLOS               57                  105                 122                 8
LISBON              211                 96                  106                 7
MYTILENE            341                 572                 139                 8
CASABLANCA          73                  1041                128                 11
NAPOLI              784                 1110                132                 8
SEVILLE             107                 955                 126                 7
MONACO              1169                77                  98                  10
AMSTERDAM           223                 574                 100                 13
PATRAS              843                 422                 118                 7
PHOENIX             641                 289                 127                 15
HAVANA              44                  886                 132                 13
HERAKLION           1117                536                 131                 9
ATLANTA             853                 428                 122                 15
WASHIGTON           1213                990                 99                  10
MILAN               144                 206                 133                 6
NICOSIA             234                 811                 106                 14
BREMEN              808                 1137                106                 13
CAIRO               3                   593                 127                 13
NEWCASTLE           1254                139                 103                 12
NEWCASTLE           633                 369                 124                 9
BRUSSELS            1101                1177                118                 11
LEEDS               657                 1095                97                  8
RABAT               1133                636                 138                 8
RECIFE              686                 669                 130                 7
GUATEMALA           58                  775                 127                 11
HERAKLION           305                 514                 135                 9
OSLO                287                 712                 109                 9
CORFU               671                 738                 128                 12
CANBERRA            1116                561                 120                 15
COPEGHAGEN          39                  151                 135                 9
BOLOGNA             822                 305                 141                 11
VALENCIA            1342                363                 133                 9
DOHA                1372                659                 121                 13
OTTAWA              1281                1040                118                 9
HAMBURG             1178                128                 117                 12
THESSALONIKI        587                 173                 104                 13
WARSAW              993                 1083                119                 15
NICE                371                 933                 120                 10
LARNACA             1230                236                 133                 12
LARNACA             578                 607                 96                  10
MILAN               640                 883                 141                 15
SAMOS               1227                922                 132                 5
BILBAO              1257                652                 132                 8
MYTILENE            701                 236                 113                 9
RABAT               389                 148                 115                 9
MANCHESTER          1097                352                 95                  14
BARCELONA           1203                100                 98                  14
LAGOS               572                 88                  135                 13
CAIRO               841                 215                 97                  15
LEEDS               1397                128                 107                 15
VALENCIA            580                 1057                144                 8
LISBON              367                 989                 141                 6
ZANTE               492                 565                 137                 9
SYDNEY              995                 278                 109                 15
MYTILENE            660                 1194                121                 11
ICARIA              799                 434                 95                  14
BARCELONA           788                 723                 144                 12
BASEL               858                 173                 116                 12
BOLOGNA             450                 627                 142                 8
MUNICH              1277                277                 104                 11
LEEDS               74                  1002                109                 10
NAPOLI              1044                634                 141                 15
OTTAWA              491                 277                 101                 13
BELIGRADE           245                 824                 124                 14
LYON                1321                622                 126                 9
RHODES              582                 1071                135                 8
ATLANTA             90                  214                 135                 11
VIGO                767                 68                  122                 8
CARACAS             486                 456                 128                 9
MALTA               1074                345                 111                 9
LONDON              252                 779                 106                 11
COPEGHAGEN          956                 1006                145                 8
KIEV                1179                892                 121                 7
OTTAWA              85                  347                 107                 12
MELBOURNE           672                 173                 136                 14
JERUSALEM           147                 1058                127                 6
MOSCOW              139                 913                 133                 11
AMSTERDAM           1180                675                 145                 6
COPEGHAGEN          1243                263                 139                 13
MALAGA              1124                779                 130                 8
MYTILENE            278                 737                 113                 7
KOS                 107                 1165                107                 11
KOS                 688                 629                 102                 15
BIRMINGHAM          560                 1056                112                 8
CAIRO               436                 1163                105                 10
LILLE               1244                1193                97                  8
MONTEVIDEO          548                 549                 113                 13
LAGOS               1055                1162                99                  15
GENOA               838                 469                 138                 7
BILBAO              278                 114                 130                 11
GENOA               1085                1073                112                 14
